title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Palm Coast,FL,32164,"$159,500+",154742,,,"3 bds, 2.0 ba ,1333 sqft",SeaGate Homes,https://www.zillow.com/community/palm-coast-on-your-lot/2077343999_zpid/
New construction,,Palm Coast,FL,32164,"$174,190+",,,,"4 bds, 2.0 ba ,1400 sqft",Century Complete,https://www.zillow.com/community/palm-coast/2076664115_zpid/
New construction,,Palm Coast,FL,32164,"$183,990+",,,,"4 bds, 2.0 ba ,1603 sqft",Century Complete,https://www.zillow.com/community/palm-coast/2076664111_zpid/
New construction,,Palm Coast,FL,32164,"$194,990+",,,,"3 bds, 2.0 ba ,1246 sqft",Century Complete,https://www.zillow.com/community/palm-coast/2076664109_zpid/
New construction,,Palm Coast,FL,32164,"$161,600+",157955,,,"3 bds, 2.0 ba ,1300 sqft",SeaGate Homes,https://www.zillow.com/community/palm-coast-on-your-lot/2077343984_zpid/
New construction,,Palm Coast,FL,32164,"$169,100+",163444,,,"3 bds, 2.0 ba ,1563 sqft",SeaGate Homes,https://www.zillow.com/community/palm-coast-on-your-lot/2077343997_zpid/
New construction,,Palm Coast,FL,32164,"$196,000+",195058,,,"3 bds, 2.0 ba ,2033 sqft",SeaGate Homes,https://www.zillow.com/community/palm-coast-on-your-lot/2077343981_zpid/
New construction,,Palm Coast,FL,32164,"$192,800+",180693,,,"3 bds, 2.0 ba ,1800 sqft",SeaGate Homes,https://www.zillow.com/community/palm-coast-on-your-lot/2077343986_zpid/
New construction,,Palm Coast,FL,32164,"$164,000+",160905,,,"3 bds, 2.0 ba ,1348 sqft",SeaGate Homes,https://www.zillow.com/community/palm-coast-on-your-lot/2077343998_zpid/
New construction,,Palm Coast,FL,32164,"$189,900",187402,,,"3 bds, 2.0 ba ,1215 sqft","AHB Construction, Inc",https://www.zillow.com/homedetails/15-Pine-Haven-Dr-UNIT-A-Palm-Coast-FL-32164/2077099734_zpid/
New construction,,Palm Coast,FL,32164,"$197,900+",194677,,,"3 bds, 2.0 ba ,2025 sqft",SeaGate Homes,https://www.zillow.com/community/palm-coast-on-your-lot/2077343983_zpid/
New construction,,Palm Coast,FL,32164,"$190,200+",,,,"2 bds, 4.0 ba ,1639 sqft",SeaGate Homes,https://www.zillow.com/community/palm-coast-on-your-lot/2077343994_zpid/
New construction,,Palm Coast,FL,32164,"$192,600+",191644,,,"2 bds, 2.0 ba ,1905 sqft",SeaGate Homes,https://www.zillow.com/community/palm-coast-on-your-lot/2077343985_zpid/
