title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Washington,DC,20003,"$799,900",799906,,,"2 bds, 3.0 ba ,1400 sqft",McWilliams/Ballard Inc.,https://www.zillow.com/homedetails/811-E-St-SE-A-Washington-DC-20003/2074413893_zpid/
House for sale,,Washington,DC,20003,"$559,500",559508,,,"2 bds, 2.0 ba ,1027 sqft",Compass,https://www.zillow.com/homedetails/1000-New-Jersey-Ave-SE-APT-106-Washington-DC-20003/2081102805_zpid/
Under Contract,,Washington,DC,20003,"$535,000",,,,"2 bds, 2.0 ba ,823 sqft",Compass,https://www.zillow.com/homedetails/311-6th-St-SE-APT-1-315-Washington-DC-20003/2075082715_zpid/
Under Contract,,Washington,DC,20003,"$584,900",584902,3180,0.54,"2 bds, 2.0 ba ,1027 sqft",Compass,https://www.zillow.com/homedetails/1000-New-Jersey-Ave-SE-APT-414-Washington-DC-20003/2099409512_zpid/
Condo for sale,,Washington,DC,20003,"$630,000",630003,2400,0.38,"2 bds, 2.0 ba ,1029 sqft",Compass,https://www.zillow.com/homedetails/1025-1st-St-SE-APT-203-Washington-DC-20003/183136540_zpid/
House for sale,,Washington,DC,20003,"$579,900",579902,2650,0.46,"2 bds, 2.0 ba ,1029 sqft",Redfin Corp,https://www.zillow.com/homedetails/1391-Pennsylvania-Ave-SE-UNIT-259-Washington-DC-20003/82293180_zpid/
Townhouse for sale,,Washington,DC,20003,"$744,999",745000,,,"2 bds, 2.0 ba ,1020 sqft",Cottage Street Realty LLC,https://www.zillow.com/homedetails/905-S-Carolina-Ave-SE-6-Washington-DC-20003/2077303637_zpid/
Condo for sale,,Washington,DC,20003,"$679,000",,,,"3 bds, 2.0 ba ,1284 sqft",Coldwell Banker Realty,https://www.zillow.com/homedetails/1391-Pennsylvania-Ave-SE-UNIT-519-Washington-DC-20003/82291600_zpid/
Under Contract,,Washington,DC,20003,"$587,500",587502,2800,0.48,"2 bds, 2.0 ba ,1027 sqft",Compass,https://www.zillow.com/homedetails/1000-New-Jersey-Ave-SE-APT-814-Washington-DC-20003/2115492214_zpid/
New construction,,Washington,DC,20003,"$779,900",765073,,,"2 bds, 2.0 ba ,1048 sqft",McWilliams/Ballard Inc.,https://www.zillow.com/homedetails/1211-Van-St-SE-506-Washington-DC-20003/2076931932_zpid/
Condo for sale,,Washington,DC,20003,"$584,900",,,,"2 bds, 2.0 ba ,1030 sqft",Compass,https://www.zillow.com/homedetails/1000-New-Jersey-Ave-SE-706-Washington-DC-20003/2073579581_zpid/
Condo for sale,,Washington,DC,20003,"$689,000",,,,"2 bds, 2.0 ba ,948 sqft",TTR Sotheby's International Realty,https://www.zillow.com/homedetails/1020-Pennsylvania-Ave-SE-APT-201-Washington-DC-20003/88803944_zpid/
Under Contract,,Washington,DC,20003,"$698,500",698348,,,"3 bds, 2.0 ba ,1350 sqft",Compass,https://www.zillow.com/homedetails/1313-Pennsylvania-Ave-SE-Washington-DC-20003/2078343279_zpid/
Under Contract,,Washington,DC,20003,"$460,000",460026,2200,0.48,"2 bds, 2.0 ba ,860 sqft",Compass,https://www.zillow.com/homedetails/1524-Independence-Ave-SE-APT-101-Washington-DC-20003/88807806_zpid/
Condo for sale,,Washington,DC,20003,"$575,000",575004,2490,0.43,"2 bds, 2.0 ba ,1029 sqft",RLAH Real Estate,https://www.zillow.com/homedetails/1391-Pennsylvania-Ave-SE-UNIT-267-Washington-DC-20003/82297278_zpid/
Condo for sale,,Washington,DC,20003,"$665,000",656564,2650,0.4,"2 bds, 2.0 ba ,935 sqft",Redfin Corp,https://www.zillow.com/homedetails/1337-K-St-SE-202-Washington-DC-20003/247165357_zpid/
Condo for sale,,Washington,DC,20003,"$599,975",,,,"2 bds, 2.0 ba ,837 sqft",TTR Sotheby's International Realty,https://www.zillow.com/homedetails/1500-Pennsylvania-Ave-SE-208-Washington-DC-20003/247165176_zpid/
Under Contract,,Washington,DC,20003,"$699,000",704436,2550,0.36,"2 bds, 2.0 ba ,1007 sqft",RLAH Real Estate,https://www.zillow.com/homedetails/254-15th-St-SE-UNIT-5-Washington-DC-20003/247164984_zpid/
Condo for sale,,Washington,DC,20003,"$699,000",729608,2800,0.38,"3 bds, 3.0 ba ,1340 sqft",The ONE Street Company,https://www.zillow.com/homedetails/1433-K-St-SE-302-Washington-DC-20003/247164468_zpid/
Condo for sale,,Washington,DC,20003,"$724,900",724901,2599,0.36,"2 bds, 2.0 ba ,1161 sqft","Central Properties, LLC,",https://www.zillow.com/homedetails/1306-Pennsylvania-Ave-SE-401-Washington-DC-20003/2138319586_zpid/
Under Contract,,Washington,DC,20003,"$799,999",794549,2995,0.38,"2 bds, 2.0 ba ,1188 sqft",Compass,https://www.zillow.com/homedetails/1025-1st-St-SE-APT-1105-Washington-DC-20003/108432817_zpid/
Under Contract,,Washington,DC,20003,"$740,000",,2800,,"2 bds, 2.0 ba ,1103 sqft",RLAH Real Estate,https://www.zillow.com/homedetails/900-11th-St-SE-APT-409-Washington-DC-20003/2090754057_zpid/
Under Contract,,Washington,DC,20003,"$699,900",716662,1990,0.28,"5 bds, 2.0 ba ,1640 sqft",Samson Properties,https://www.zillow.com/homedetails/1310-L-St-SE-Washington-DC-20003/424410_zpid/
