title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts_and_features,real_estate_provider,url,zone,zoning_description
Condo for sale,,Lahaina,HI,96761,"$109,000",106091,,,"1 bds, 1.0 ba ,793 sqft",Coldwell Banker Island Prop(L),https://www.zillow.com/homedetails/3660-Lower-Honoapiilani-Rd-APT-312-Lahaina-HI-96761/758077_zpid/,Not found,Not found
Foreclosure,,Lahaina,HI,96761,"$189,900",151028,,,"2 bds, 1.0 ba ,658 sqft",TLC Realty LLC,https://www.zillow.com/homedetails/3676-Lower-Honoapiilani-Rd-APT-F303-Lahaina-HI-96761/71765487_zpid/,Not found,Not found
Condo for sale,,Lahaina,HI,96761,"$170,000",,,,"1 bds, 1.0 ba ,545 sqft",Island Sotheby's Int'l Rlty(L),https://www.zillow.com/homedetails/3660-Lower-Honoapiilani-Rd-APT-101-Lahaina-HI-96761/758068_zpid/,4,County Zoning: A-2 Apartment District
Condo for sale,,Lahaina,HI,96761,"$340,000",335248,,,"1 bds, 1.0 ba ,799 sqft",Wailea Realty+WindermereRE (W),https://www.zillow.com/homedetails/3875-Lower-Honoapiilani-Rd-APT-B205-Lahaina-HI-96761/756918_zpid/,4,"State Zoning: Urban,County Zoning: A-2 Apartment District"
Condo for sale,,Lahaina,HI,96761,"$225,000",,,,"1 bds, 1.0 ba ,542 sqft",Island Sotheby's Int'l Rlty(L),https://www.zillow.com/homedetails/1010-Front-St-APT-A103-Lahaina-HI-96761/71766303_zpid/,4,"State Zoning: Urban,County Zoning: A-1 Apartment District"
Condo for sale,,Lahaina,HI,96761,"$329,000",321861,,,"2 bds, 2.0 ba ,800 sqft","Destination Maui Realty, LLC",https://www.zillow.com/homedetails/1010-Front-St-APT-A101-Lahaina-HI-96761/71766300_zpid/,Not found,Not found
Condo for sale,,Lahaina,HI,96761,"$325,000",323669,,,"1 bds, 1.0 ba ,704 sqft","RE/MAX Island Properties, LLC",https://www.zillow.com/homedetails/3875-Lower-Honoapiilani-Rd-APT-B201-Lahaina-HI-96761/80330438_zpid/,Not found,Not found
Condo for sale,,Lahaina,HI,96761,"$568,000",560230,,,"2 bds, 2.0 ba ,920 sqft",Berkshire Hathaway Maui Prop-L,https://www.zillow.com/homedetails/4310-Lower-Honoapiilani-Rd-APT-501-Lahaina-HI-96761/71649641_zpid/,Not found,Not found
Condo for sale,,Lahaina,HI,96761,"$235,000",229752,,,"1 bds, 1.0 ba ,542 sqft",Corcoran Pacific Properties,https://www.zillow.com/homedetails/1010-Front-St-APT-D106-Lahaina-HI-96761/71766318_zpid/,4,"State Zoning: Urban,County Zoning: A-1 Apartment District"
Condo for sale,,Lahaina,HI,96761,"$659,000",633484,,,"2 bds, 2.0 ba ,1066 sqft",Vacasa,https://www.zillow.com/homedetails/4401-Lower-Honoapiilani-Rd-APT-A501-Lahaina-HI-96761/71764945_zpid/,4,County Zoning: R-2 Residential
Condo for sale,,Lahaina,HI,96761,"$425,000",417137,,,"1 bds, 1.0 ba ,799 sqft",Keller Williams Realty Maui-Ka,https://www.zillow.com/homedetails/3875-Lower-Honoapiilani-Rd-APT-A205-Lahaina-HI-96761/756912_zpid/,Not found,Not found
Condo for sale,,Lahaina,HI,96761,"$350,000",336533,,,"1 bds, 1.0 ba ,597 sqft",Coldwell Banker Island Prop(L),https://www.zillow.com/homedetails/3543-Lower-Honoapiilani-Rd-H201-Lahaina-HI-96761/80331625_zpid/,4,County Zoning: A-2 Apartment District
Condo for sale,,Lahaina,HI,96761,"$565,000",,,,"2 bds, 2.0 ba ,964 sqft",Keller Williams Realty Maui-L,https://www.zillow.com/homedetails/3445-Lower-Honoapiilani-Rd-535-Lahaina-HI-96761/80331909_zpid/,4,"State Zoning: Urban,County Zoning: H-2 Hotel District"
Under Contract,,Lahaina,HI,96761,"$620,000",602270,,,"3 bds, 3.0 ba ,1145 sqft",Hawaii Life (KAP),https://www.zillow.com/homedetails/3543-Lower-Honoapiilani-Rd-D403-Lahaina-HI-96761/80331526_zpid/,4,"State Zoning: Urban,County Zoning: A-2 Apartment District"
Condo for sale,,Lahaina,HI,96761,"$680,000",664855,,,"3 bds, 2.0 ba ,1321 sqft",Keller Williams Realty Maui-L,https://www.zillow.com/homedetails/1660-Limahana-Cir-F304-Lahaina-HI-96761/2078105023_zpid/,Not found,Not found
Condo for sale,,Lahaina,HI,96761,"$204,900",,,,"1 bds, 1.0 ba ,564 sqft",Coldwell Banker Island Prop-KP,https://www.zillow.com/homedetails/120-Hui-Rd-F-APT-C3-Lahaina-HI-96761/2089587042_zpid/,Not found,Not found
Condo for sale,,Lahaina,HI,96761,"$679,000",,,,"2 bds, 2.0 ba ,1040 sqft",Island Sotheby's Int'l Rlty(L),https://www.zillow.com/homedetails/4327-Lower-Honoapiilani-Rd-APT-103B-Lahaina-HI-96761/757163_zpid/,4,"State Zoning: Urban,County Zoning: H-2 Hotel District"
Condo for sale,,Lahaina,HI,96761,"$230,000",225378,,,"2 bds, 1.0 ba ,658 sqft","Soleil Management Hawaii, LLC",https://www.zillow.com/homedetails/3676-Lower-Honoapiilani-Rd-APT-G101-Lahaina-HI-96761/71765490_zpid/,Not found,Not found
Condo for sale,,Lahaina,HI,96761,"$398,500",,,,"1 bds, 1.0 ba ,799 sqft",Island Sotheby's Int'l Rlty(L),https://www.zillow.com/homedetails/3875-Lower-Honoapiilani-Rd-APT-A106-Lahaina-HI-96761/80330425_zpid/,4,County Zoning: A-2 Apartment District
Condo for sale,,Lahaina,HI,96761,"$625,000",601738,,,"2 bds, 2.0 ba ,1004 sqft",Keller Williams Realty Maui-Ka,https://www.zillow.com/homedetails/3445-Lower-Honoapiilani-Rd-815-Lahaina-HI-96761/80332032_zpid/,4,"State Zoning: Urban,County Zoning: H-1 Hotel District"
Condo for sale,,Lahaina,HI,96761,"$695,000",694789,,,"2 bds, 2.0 ba ,1141 sqft",Berkshire Hathaway Maui Prop-L,https://www.zillow.com/homedetails/4365-Lower-Honoapiilani-Rd-301-Lahaina-HI-96761/80330997_zpid/,Not found,Not found
Condo for sale,,Lahaina,HI,96761,"$239,000",233489,,,"1 bds, 1.0 ba ,542 sqft",Berkshire Hathaway Maui Prop-L,https://www.zillow.com/homedetails/1010-Front-St-APT-D205-Lahaina-HI-96761/758641_zpid/,Not found,Not found
Condo for sale,,Lahaina,HI,96761,"$539,000",538999,,,"2 bds, 1.0 ba ,700 sqft",Hawaii Life (KAP),https://www.zillow.com/homedetails/760-Wainee-St-APT-A104-Lahaina-HI-96761/65274437_zpid/,Not found,Not found
Condo for sale,,Lahaina,HI,96761,"$399,000",,,,"1 bds, 1.0 ba ,806 sqft",Keller Williams Realty Maui-L,https://www.zillow.com/homedetails/3445-Lower-Honoapiilani-Rd-614-Lahaina-HI-96761/80331938_zpid/,4,"State Zoning: Urban,County Zoning: H-2 Hotel District"
